"1509"	100034.66822588533
"1510"	124934.01908849277
"1512"	202883.632316504
"1602"	130175.52141758327
"1604"	95096.54076645788
"1606"	130125.45646212902
"1608"	120120.0512198887
"1611"	118474.20698056064
"1701"	144585.8323444452
"1703"	147214.03904270852
"1705"	152468.92858418153
"1707"	132832.13221663184
"1709"	146348.90579564712
"1710"	139857.57340532023
"1712"	125269.51047898784
"1802"	131824.6970378884
"1804"	236640.05872251868
"1806"	180876.6369936829
"1808"	185842.0453268484
"1811"	224208.95181702235
"1901"	213715.9605048934
"1903"	248264.50268159295
"1905"	183030.1566688551
"1508"	72940.21712670397
"1511"	209520.94340378218
"1601"	140463.7812759377
"1603"	103583.61174482375
"1605"	119736.31386713355
"1607"	114353.3291824716
"1609"	139579.05819828573
"1610"	117086.93197563328
"1612"	134463.8302327048
"1702"	185771.26611789103
"1704"	156839.67702323574
"1706"	129431.8443809003
"1708"	139554.8957560159
"1711"	146613.7212948582
"1801"	102167.12354317823
"1803"	156143.78560509396
"1805"	148892.9915448342
"1807"	160844.2135075465
"1809"	202253.99873822473
"1810"	202532.2626962209
"1812"	228197.0665342265
"1902"	246776.93062665823
"1904"	210550.61605918623
"1906"	153599.91038180926
